Pack_Price,Unit_Price,Weight_Kilograms_Clean,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Fulfill_Via,Shipment_Mode,Country,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
27.0,0.16,3263.0,20,10000,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,20885.78
8.58,0.8,678.0,100,1568,Direct Drop,Air,Tanzania,HIV test,Test kit,Yes,12950.74
19.5,0.65,1248.0,30,69783,From RDC,Air,Zambia,Adult,Tablet,No,63886.29
11.4,0.19,81.0,60,809,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,459.72
10.74,0.36,4656.0,30,38433,Direct Drop,Air,Ghana,Adult,Tablet,Yes,31521.65
7.0,0.12,1248.0,60,7619,From RDC,Air,Uganda,Adult,Tablet,No,100654.61
12.11,0.4,1366.0,30,5277,From RDC,Air,Uganda,Adult,Tablet,Yes,8507.01
3.4,0.06,3224.0,60,55560,From RDC,Truck,Zambia,Adult,Tablet,Yes,4217.45
8.58,0.8,3890.0,100,9575,Direct Drop,Air,Mozambique,HIV test,Test kit,Yes,29244.02
23.0,0.16,5057.0,1,7002,Direct Drop,Air,Ethiopia,HIV test,Test kit,Yes,44347.71
